Razão Social,Endereço,Município,UF,Licenciada (sim ou não),Latitude/Longitude,Canal/Frequência,Indicador
ASSOCIAÇÃO COMUNITÁRIA DOS MORADORES DE TARTARUGALZINHO,BR 156 - KM 234,Tartarugalzinho,AP,,01N294200/50W543200,200 / 87.90,ZYS454
ASSOCIAÇÃO DA RÁDIO COMUNITÁRIA DE VITÓRIA DO JARI - AP,"RUA JOSE SIMEAO DE SOUZA, S/N",Vitória do Jari,AP,( S ),00S555900/52W245900,200 / 87.90,ZYC292
ASSOCIAÇÃO COMUNITÁRIA DE ABAÍRA - BA,PRAÇA JOÃO HIPÓLITO RODRIGUES,Abaíra,BA,( S ),13S145900/41W395400,285 / 104.90,ZYS612
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DE ACAJUTIBA,PRAÇA RUY BARBOSA,Acajutiba,BA,( S ),11S394300/38W005700,285 / 104.90,ZYS659
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DE ADUSTINA FM - MHZ,RUA ANTÔNIO MIGUEL DE MENEZES,Adustina,BA,( S ),10S321700/38W065700,285 / 104.90,ZYS613
ASSOCIAÇÃO COMUNITÁRIA DE AGUA FRIA E BARRA,AV.ANTONIO SERGIO CARNEIRO,Água Fria,BA,( S ),11S520000/38W460000,285 / 104.90,ZYS595
ASSOCIAÇÃO CULTURAL COMUNITÁRIA DE RADIODIFUSÃO BEM QUERER,AVENIDA JONIVAL LUCAS,Aiquara,BA,,14S073500/39W532400,285 / 104.90,ZYS677
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO DE ALAGOINHAS,POVOADO CALÚ,Alagoinhas,BA,( S ),12S094800/38W221500,290 / 105.90,ZYS674
ASSOCIAÇÃO CULTURAL COMUNITÁRIA RÔMULO ALMEIDA,BR 110 - KM 101,Alagoinhas,BA,( S ),12S101800/38W244300,290 / 105.90,ZYS722
SERVICO DE RADIOD.COM.DO BARREIRO MUNDIAL FM-SRCB MUNDIAL FM,"RUA SANTA LUZ, 220",Alagoinhas,BA,( S ),12S080800/38W250900,290 / 105.90,ZYS529
ASSOCIACAO COMUNITARIA AMARGOSA,"TRAVESSA ALAMEDA SAMPAIO, 55 - 1 PISO",Amargosa,BA,( S ),13S014900/39W361700,290 / 105.90,ZYS493
