Razão Social,Endereço,Município,UF,Licenciada (sim ou não),Latitude/Longitude,Canal/Frequência,Indicador
ASSOCIAÇÃO DE PRESERVAÇÃO AMBIENTAL ENTRE RIOS,RUA GENERAL MASCARENHAS MORAIS,Ipameri,GO,( S ),17S434400/48W095300,200 / 87.90,ZYC608
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO DE IPIRANGA DE GOIÁS,RUA 07 - QUADRA Z - LOTE 07,Ipiranga de Goiás,GO,( S ),15S103800/49W402700,285 / 104.90,ZYV952
ASSOCIACAO IPORAENSE DE COMUNICACAO - ASSICOM,"RUA PRESIDENTE KENEDY, 140",Iporá,GO,( S ),16S261300/51W065500,200 / 87.90,ZYC595
ASSOCIAÇÃO COMUNITÁRIA DE MORADORES DE ISRAELÂNDIA,RODOVIA GO 060,Israelândia,GO,,16S190400/50W542800,200 / 87.90,ZYV953
ASSOCIAÇÃO CULTURAL E COMUNITÁRIA DE ITABERAÍ,RUA 22 - QUADRA 43 - LOTE 04,Itaberaí,GO,( S ),16S013300/49W480000,200 / 87.90,ZYT289
ASSOCIAÇÃO DE DIFUSÃO COMUNITÁRIA DE ITAJÁ,RUA DR. TANCREDO ALMEIDA NEVES,Itajá,GO,,19S040100/51W325900,290 / 105.90,ZYT276
TV E RÁDIO CIDADE FM,RUA 03 - QUADRA A - LOTE 25,Itapaci,GO,( S ),14S573500/49W330700,200 / 87.90,ZYV917
ASSOCIAÇÃO COMUNITÁRIA DE ITAPIRAPUÃ,AVENIDA ALFREDO NASSER - QUADRA 70 - LOTE 15,Itapirapuã,GO,( S ),15S493500/50W364200,200 / 87.90,ZYL477
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DE ITAPURANGA,RUA 47,Itapuranga,GO,( S ),15S334000/49W564500,200 / 87.90,ZYT277
ASSOCIACAO COMUNITARIA ITAUCUENSE,"AVENIDA EURIPEDES FERREIRA DE ASSIS,110",Itauçu,GO,( S ),16S114300/49W362000,200 / 87.90,ZYL476
ASSOCIAÇÃO CULTURAL BENEFICENTE E COMUNITÁRIA CAMINHOS DA VIDA,AVENIDA WASHINGTON LUIZ,Itumbiara,GO,( S ),18S243300/49W130700,200 / 87.90,ZYV900
ASSOCIAÇÃO DOS MORADORES DO BAIRRO NOVO HORIZONTE,RUA  ITABERAI,Itumbiara,GO,,18S264200/49W125100,200 / 87.90,ZYV930
ASSOCIAÇÃO CULTURAL DO MUNICÍPIO DE JANDAIA - ESTADO DE GOIAS (RÁDIO CULTURAL JANDAIA FM),RUA MANOEL MACHADO BORGES,Jandaia,GO,( S ),17S024700/50W083600,200 / 87.90,ZYT288
ASSOCIAÇÃO DOS MOVIMENTOS POPULARES DE JARAGUÁ,"AVENIDA NELSON DE CASTRO RIBEIRO, S/N - LOTE 1 - Q",Jaraguá,GO,( S ),15S452900/49W193400,200 / 87.90,ZYT228
ASSOCIAÇÃO COMUNITÁRIA PARA O DESENVOLVIMENTO SÓCIO CULTURAL DE JATAÍ - ACONDEJ,RUA  INACIO JOSE DE MELO,Jataí,GO,( S ),17S531800/51W433500,285 / 104.90,ZYV913
ASSOCIAÇÃO CULTURAL COMUNITÁRIA FAMÍLIA DE JATAÍ,RUA 10,Jataí,GO,( S ),17S523200/51W412600,285 / 104.90,ZYV954
ASSOCIAÇÃO COMUNITÁRIA GERALDO DE OLIVEIRA DE JAUPACI - GOIÁS,RUA GUARDA MOR - QUADRA L - LOTE 12,Jaupaci,GO,,16S105800/50W571200,200 / 87.90,ZYV969
ASSOCIACAO COMUNITARIA DE JOVIANIA,RUA DUQUE DE CAXIAS,Joviânia,GO,( S ),17S481000/49W373700,200 / 87.90,ZYL471
RADIOCLUBE VIDA,AVENIDA GERALDINO FLEURY DOS PASSOS - QUADRA 06 - LOTE 20,Jussara,GO,( S ),15S520200/50W520700,200 / 87.90,ZYL469
SOCIEDADE LEOPOLDENSE DE CULTURA,,Leopoldo de Bulhões,GO,( N ),,200 / 87.90,
ASSOCIAÇÃO COMUNITÁRIA CULTURAL E INTELECTUAL DE LUZIÂNIA (ASCOCIL),RUA CORONEL ANTÔNIO CARNEIRO,Luziânia,GO,,16S153100/47W570600,251 / 98.10,ZYV947
ASSOCIAÇÃO DE DIFUSÃO COMUNITÁRIA DE MARA ROSA (ADICOMAR),RUA FRANCISCO XAVIER - QUADRA BB - LOTE 05,Mara Rosa,GO,( S ),14S004300/49W103600,285 / 104.90,ZYV908
ASSOCIAÇÃO COMUNITÁRIA DE MARZAGÃO,RUA 05 - QUADRA 19 - LOTE 1/A,Marzagão,GO,,17S584600/48W383400,200 / 87.90,ZYV925
ASSOCIACAO CULTURAL DE MATRINCHA,RUA OURO VERDE - QUADRA 05 - LOTE 18,Matrinchã,GO,( S ),15S261700/50W445100,200 / 87.90,ZYC594
ASSOCIAÇÃO DE PROTEÇÃO AMBIENTAL DO VALE DO RIO VERDÃO,AVENIDA BRASIL,Maurilândia,GO,( S ),17S580700/50W201500,200 / 87.90,ZYV965
ASSOCIAÇÃO CULTURAL DE RADIODIFUSÃO COMUNITÁRIA DE MIMOSO DE GOIÁS - GO,RUA 03 - QUADRA 15 - LOTE 03,Mimoso de Goiás,GO,( S ),15S033000/48W093900,200 / 87.90,ZYV944
ASSOCIAÇÃO COMUNITÁRIA ALIANÇA,AVENIDA DOM JOÃO VI - QUADRA 03 - LOTE 01,Mineiros,GO,,17S342800/52W322700,200 / 87.90,ZYV932
ASSOCIAÇÃO DE DESENVOLVIMENTO COMUNITÁRIO DE MONTE ALEGRE DE GOIÁS - GO - ADECOM,AVENIDA MIGUEL RIBEIRO - QUADRA 01 - LOTE 33,Monte Alegre de Goiás,GO,( S ),13S154600/46W535500,200 / 87.90,ZYV912
ASSOCIAÇÃO DE COMUNICAÇÃO E CULTURA DE MONTES CLAROS DE GOIÁS,"PRACA CRISTO REI, 12",Montes Claros de Goiás,GO,( S ),16S003300/51W235800,200 / 87.90,ZYC581
ASSOCIACAO CULTURAL JOSE RIBEIRO DA CUNHA,"AVENIDA RIO VERDE,100 SALA 08",Montividiu,GO,( S ),17S265800/51W103200,200 / 87.90,ZYC582
FUNDAÇÃO DE ASSISTÊNCIA SOCIAL BETUEL - FASB,RUA 101 B,Morrinhos,GO,( S ),17S441100/49W073400,254 / 98.70,ZYC593
ASSOCIAÇÃO DE DESENVOLVIMENTO COMUNITÁRIO DE MORRO AGUDO DE GOIÁS - ADESCOM,AVENIDA FLAMBOYANT,Morro Agudo de Goiás,GO,( S ),15S190900/50W032000,285 / 104.90,ZYV955
ASCOM-ASSOCIACAO DE COMUNICACAO E CULTURA DE MOZARLANDIA,"RUA PEDRO AMARO, S/NÊ - QUADRA 8 B - LOTE 14",Mozarlândia,GO,( S ),14S450000/50W342200,200 / 87.90,ZYC592
ASSOCIACAO COMUNITARIA NOVA AURORA,RUA RAIMUNDO VIEIRA LOPES - QUADRA 14 - LOTE 10 -,Mundo Novo,GO,( S ),13S461600/50W165000,200 / 87.90,ZYT222
ASSOCIAÇÃO COMUNITÁRIA DE AÇÃO  SOCIAL E CULTURAL DE NAZÁRIO - ACOMASC,AVENIDA BERNARDO SAYÃO,Nazário,GO,( S ),16S355900/49W535800,200 / 87.90,ZYV928
ASSOCIACAO COMUNITARIA CULTURAL 'PROFESSORA ELZITA SANTANA',"AVENIDA GETULIO VARGAS, QUADRA 15, LOTE 03",Nerópolis,GO,( S ),16S242900/49W130500,200 / 87.90,ZYT201
ASSOCIACAO COMUNITARIA DE COMUNICACAO E CULTURA DE NIQUELANDIA,,Niquelândia,GO,( N ),,200 / 87.90,
ASSOCIAÇÃO CULTURAL E COMUNITÁRIA DE NIQUELÂNDIA - ACCN,,Niquelândia,GO,( N ),,200 / 87.90,
ASSOCIAÇÃO DE DIFUSÃO COMUNITÁRIA PORTAL DO ARAGUAIA,RUA ANA CARNEIRO,Nova Crixás,GO,( S ),14S054200/50W200500,200 / 87.90,ZYV946
ASSOCIACÃO COMUNITÁRIA DE NOVA GLÓRIA,PRAÇA CÍVICA,Nova Glória,GO,,15S085200/49W343600,285 / 104.90,ZYT286
ASSOCIAÇÃO DE DIFUSÃO COMUNITÁRIA DE NOVA VENEZA,RUA 12,Nova Veneza,GO,( S ),16S221500/49W192300,200 / 87.90,ZYV919
ASSOCIAÇÃO DE COMUNICAÇÃO E CULTURA DE NOVO BRASIL - ASCON,AVENIDA PROFESSOR PEDRO GOMES,Novo Brasil,GO,( S ),16S020100/50W423400,200 / 87.90,ZYV949
ASSOCIAÇÃO DOS SERVIDORES DO TRANSPORTE ALTERNATIVO E DE BAIRROS DO MUNICÍPIO DE NOVO GAMA,ALAMEDA CENTRAL,Novo Gama,GO,,16S054700/48W020100,251 / 98.10,ZYV958
ASSOCIAÇÃO DE INTEGRAÇÃO COMUNITÁRIA DE ORIZONA - AICO,RUA IMÍDIO CORREA PERES,Orizona,GO,( S ),17S020200/48W182600,200 / 87.90,ZYT293
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DE OURO VERDE,RUA DO COMÉRCIO - QUADRA 33 - LOTE 55 A,Ouro Verde de Goiás,GO,( S ),16S130800/49W115200,200 / 87.90,ZYL468
ASSOCIACÃO DE DIFUSÃO ARTÍSTICA E CULTURAL DE OUVIDOR - GO,RUA ELISEU DA SILVA,Ouvidor,GO,( S ),18S142100/47W502100,285 / 104.90,ZYT287
ASSOCIAÇÃO PRO-DESENVOLVIMENTO DE PADRE BERNARDO-GO-APRODEM,RUA NELCINO VINHAL RIBEIRO; S/N - SETOR SUL,Padre Bernardo,GO,( S ),15S101700/48W171100,200 / 87.90,ZYT214
ASSOCIAÇÃO DE MORADORES DE PALESTINA DE GOIAS,AVENIDA GUALBERTO PEREIRA DA SILVA,Palestina de Goiás,GO,( S ),16S444300/51W314700,285 / 104.90,ZYV929
ASSOCIAÇÃO DE DIFUSÃO COMUNITÁRIA PALMEIRAS DE GOIÁS,"RUA CAPITAO MACHADO, NÌ 220",Palmeiras de Goiás,GO,( S ),16S482100/49W553400,200 / 87.90,ZYT215
ASSOCIAÇÃOCOMUNITÁRIA AMIGOS DE PALMELO - ACAP,RUA BERNARDO LOPES;,Palmelo,GO,,17S192000/48W253200,200 / 87.90,ZYV960
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO E CULTURA DE PALMINÓPOLIS,RUA 03 - QUADRA 02 - LOTE 02,Palminópolis,GO,,16S474000/50W101500,200 / 87.90,ZYV963
ASSOCIACAO COMUNITARIA DE COMUNICACAO DE PARANAIGUARA,RUA INDUSTRIAL - QUADRA 03 - LOTE 13A,Paranaiguara,GO,( S ),18S533600/50W292300,285 / 104.90,ZYT227
ASSOCIAÇÃO CULTURAL SERRA DAS GALÉS,AVENIDA JK COM JERONIMO VASCONCELOS-QUADRA 10-LOTE 09,Paraúna,GO,( S ),16S570100/50W270600,200 / 87.90,ZYL465
ASSOCIAÇÃO COMUNITÁRIA DE DIFUSÃO CULTURAL DE PEROLÂNDIA,RUA W 58- QUADRA 01 - LOTE 11,Perolândia,GO,,17S315200/52W035700,285 / 104.90,ZYV933
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DOS MORADORES DE PETROLINA DE GOIÁS - GO,RUA 1 - QUADRA 13 - LOTE 10/11,Petrolina de Goiás,GO,( S ),16S060500/49W201100,200 / 87.90,ZYT278
ASSOCIAÇÃO COMUNITÁRIA DE PIRACANJUBA,AVENIDA EXPEDICIONÁRIO JOSÉ ELIAS DE REZENDE,Piracanjuba,GO,( S ),17S181000/49W010300,254 / 98.70,ZYT290
ASSOCIAÇÃO DE ECOLOGIA E MEIO AMBIENTE DE PIRANHAS - GRUPO EMA,AVENIDA PREVISTO MORAES DOS SANTOS,Piranhas,GO,( S ),16S253800/51W491800,285 / 104.90,ZYV911
ASSOCIAÇÃO RADIOCLUBE JORNAL MEIA PONTE,"RUA SIZENANDO JAIME, 19 - FUNDOS",Pirenópolis,GO,( S ),15S511600/48W572900,200 / 87.90,ZYC591
ASSOCIAÇÃO COMUNITÁRIA RÁDIO PAZ FM,QUADRA 124 - LOTE 15,Planaltina,GO,( S ),15S253300/47W364300,251 / 98.10,ZYV909
ASSOCIACÃO MOVIMENTO COMUNITÁRIO RÁDIO POSITIVA FM,QUADRA 08 - MR 09 - LOJA 19,Planaltina,GO,( S ),15S275000/47W361400,251 / 98.10,ZYC589
ASSOCIACAO PONTALINENSE EDUCATIVA E CULTURAL,AVENIDA ONOFRE DE ANDRADE,Pontalina,GO,( S ),17S304900/49W270400,254 / 98.70,ZYL473
ASSOCIAÇÃO COMUNITÁRIA LAGOA FM,RUA 05 - QUADRA 05 - LOTE 09,Porangatu,GO,( S ),13S264300/49W083400,290 / 105.90,ZYV926
ASSOCIAÇÃO COMUNITÁRIA EDUCATIVA E DE RADIODIFUSÃO DE POSSE - GO - ACERP,RUA MARIA BARBOSA DE CASTRO - QUADRA 07 - LOTE 15,Posse,GO,,14S042700/46W192500,285 / 104.90,ZYV918
ASSOCIAÇÃO COMUNITÁRIA PARA O DESENVOLVIMENTO DE POSSE - ADEPE,PRACA DA LIBERDADE (ANTIGA PRACA DOS TRES PODERES),Posse,GO,( S ),14S051200/46W214200,285 / 104.90,ZYT207
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL RIO DAS PEDRAS,RUA FRANCISCO CORREA NEVES,Quirinópolis,GO,( S ),18S265400/50W271000,200 / 87.90,ZYT202
ASSOCIAÇÃO CULTURAL E EDUCATIVA DE RIO QUENTE,AVENIDA JOSÉ DIAS GUIMARÃES,Rio Quente,GO,( S ),17S482600/48W460400,254 / 98.70,ZYT203
ASSOCIAÇÃO CULTURAL TOLENTINO ROSA SALDANHA DE RIO VERDE,RUA  20,Rio Verde,GO,( S ),17S470500/50W541400,200 / 87.90,ZYT270
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DE RUBIATABA,"AVENIDA AROEIRA, 637",Rubiataba,GO,( S ),15S094100/49W482300,285 / 104.90,ZYT213
ASSOCIACAO COMUNITARIA CULTURAL JUVENTINA MARIA DE MENDONCA,AVENIDA CINCO DE JANEIRO; 2047- SETOR RODOVIARIO N,Sanclerlândia,GO,( S ),16S115500/50W184900,200 / 87.90,ZYT281
ASSOCIAÇÃO COMUNITÁRIA DE VOLUNTÁRIOS PARA EVENTOS BENEFICENTES DE SANTA FÉ DE GOIÁS - COVEB,RUA SÃO DOMINGOS,Santa Fé de Goiás,GO,,15S460400/51W061400,200 / 87.90,ZYV964
RÁDIO CULTURA DE SANTA HELENA DE GOIÁS - RCS - GOIÁS,,Santa Helena de Goiás,GO,( N ),,200 / 87.90,
FUNDACAO CULTURAL EBENEZER,"RUA ALFREDO NASSER, 108",Santa Helena de Goiás,GO,( S ),17S485100/50W363400,200 / 87.90,ZYC588
ASSOCIACAO COMUNITARIA DOS MORADORES E AMIGOS DA NASCENTE DO RIO ARAGUAIA,,Santa Rita do Araguaia,GO,( N ),,285 / 104.90,
ASSOCIAÇÃO DE DIFUSÃO COMUNITÁRIA DE NOVO DESTINO,RUA MONTEIRO DE BARROS,Santa Rita do Novo Destino,GO,( S ),15S080300/49W070700,200 / 87.90,ZYV945
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO E CULTURA UNIÃO SANTA TEREZA,AVENIDA BERNARDO SAYÃO,Santa Tereza de Goiás,GO,( S ),13S430100/49W010100,254 / 98.70,ZYV903
ASSOCIACAO COMUNITA.DE RADIODIF.DE SANTO ANTONIO DA BARRA-GO,"RUA MARIA VITORIA, S/N",Santo Antônio da Barra,GO,( S ),17S332500/50W381400,285 / 104.90,ZYT226
ASSOCIAÇÃO CULTURAL E COMUNITÁRIA DE SANTO ANTÔNIO DO DESCOBERTO,QUADRA 33 - LOTE 22 - SALA 107,Santo Antônio do Descoberto,GO,( S ),15S562800/48W152200,251 / 98.10,ZYT200
RÁDIO COMUNITÁRIA DE SANTO ANTÔNIO DO DESCOBERTO FM,ÁREA ESPECIAL - QUADRA 75/77,Santo Antônio do Descoberto,GO,,15S570800/48W173700,251 / 98.10,ZYT216
ASSOCIACAO COMUNITARIA DE SAO JOAO D'ALIANCA,"AVENIDA ANHANGUERA, S/NÌ",São João d'Aliança,GO,( S ),14S422400/47W304300,200 / 87.90,ZYL466
ASSOCIAÇÃO COMUNITÁRIA VIDA,RUA JABAQUARA,São Luís de Montes Belos,GO,( S ),16S312100/50W221900,200 / 87.90,ZYT280
ASSOCIAÇÃO COMUNITÁRIA DE SÃO LUIZ DO NORTE,RUA BERNARDO SAYÃO,São Luíz do Norte,GO,,14S514500/49W194500,200 / 87.90,ZYV976
ASSOCIACAO VALE DO ARAGUAIA DE DESENV ART CULTURAL FM(AVADA),AVENIDA JOSÉ PEREIRA DO NASCIMENTO,São Miguel do Araguaia,GO,( S ),13S163000/50W094600,285 / 104.90,ZYC580
ASSOCIAÇÃO DOS MORADORES DE SÃO MIGUEL DO PASSA QUATRO-GO,RUA ÉRICO JOSUÉ MEIRELES;,São Miguel do Passa Quatro,GO,,17S031900/48W394900,200 / 87.90,ZYV961
ASSOCIACAO EDUCATIVA SAO SIMAO,RUA 14 A,São Simão,GO,( S ),18S594100/50W332000,285 / 104.90,ZYT283
ASSOCIAÇÃO DE DIFUSÃO COMUNITÁRIA DE SENADOR CANEDO - GO,RUA JOSÉ FRANCISCO TELES - QUADRA 2G - LOTE 23,Senador Canedo,GO,( S ),16S415300/49W054900,200 / 87.90,ZYC587
ASSOCIAÇÃO MOVIMENTO COMUNITÁRIO RÁDIO SERRA VERDE FM,RUA BEIJAMIN MATEUS DE LIMA,Serranópolis,GO,( S ),18S182000/51W574400,285 / 104.90,ZYC586
ASSOCIACAO SILVANIENSE DE DESENV.ARTISTI.E CULTURAL(ASILDAC),"AVENIDA DOM BOSCO, 1559",Silvânia,GO,( S ),16S401900/48W365300,200 / 87.90,ZYT233
ASSOCIAÇÃO COMUNITÁRIA PRÓ DESENVOLVIMENTO DE SIMOLÂNDIA - ADS,AVENIDA PEDRO NUNES - QUADRA 13 - LOTE 13,Simolândia,GO,( S ),14S282300/46W290700,285 / 104.90,ZYT212
ASSOCIACAO DE COMUNICACAO COMUNITARIA CIDADE DE TAQUARAL DE GOIAS,,Taquaral de Goiás,GO,( N ),,200 / 87.90,
ASSOCIAÇÃO DE RADIODIFUSAO E CULTURA DE TEREZÓPOLIS,AV. ANTONIO HUMBELINO FILHO;,Terezópolis de Goiás,GO,( S ),16S290300/49W053100,200 / 87.90,ZYV942
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DE TRÊS RANCHOS,RUA NAZIR FÉLIX,Três Ranchos,GO,,18S210800/47W465300,285 / 104.90,ZYV934
ASSOCIAÇÃO CULTURAL SEBASTIÃO CÂNDIDO RIOS DE TRINDADE - GOIÁS,RUA BOA VISTA,Trindade,GO,( S ),16S385000/49W282200,200 / 87.90,ZYT295
ASSOCIACAO DE COMUNICACAO E CULTURA DE TROMBAS - ACCTRM,RUA JOAO PEREIRA RUFINO,Trombas,GO,( S ),13S305200/48W444000,254 / 98.70,ZYC585
ASSOCIAÇÃO DOS AMIGOS DE TURVÂNIA (AATUR),RUA PAULO RODRIGUES,Turvânia,GO,( S ),16S365200/50W080300,200 / 87.90,ZYV921
FUNDAÇÃO CULTURAL EDUCATIVA CARLOS ROBERTO DA SILVA PIMENTA - FUNCEC,RUA MÁRIO DE LIMA FILHO,Urutaí,GO,( S ),17S275000/48W120900,200 / 87.90,ZYC584
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO DO BAIRRO IPANEMA (RVS FM),QUADRA 41; LOTE,Valparaíso de Goiás,GO,( S ),16S051400/47W591500,251 / 98.10,ZYV943
ASSOCIAÇÃO COMUNITÁRIA DO MUNICÍPIO DE VALPARAÍSO DE GOIÁS,QUADRA 07 - BLOCO A - SALA 107 - SETOR A,Valparaíso de Goiás,GO,,16S014000/47W584100,251 / 98.10,ZYT238
SOCIEDADE DE DESENV.COMUNIT.E SOCIAL DO CEU AZUL-SODESCCA,RUA 80 - QUADRA 159 - LOTE 23,Valparaíso de Goiás,GO,( S ),16S032800/48W004600,251 / 98.10,ZYT234
ASSOCIAÇÃO COMUNITÁRIA DE VIANÓPOLIS,RUA EUZEBIO DE OLIVEIRA,Vianópolis,GO,( S ),16S444000/48W305600,200 / 87.90,ZYC614
ASSOCIAÇÃO CULTURAL EDUCATIVA DE VICENTINÓPOLIS,"AVENIDA VICENTE FERREIRA, 180",Vicentinópolis,GO,( S ),17S434400/49W452700,200 / 87.90,ZYT223
ASSOCIACAO COMUNITARIA ESPERANCA,"RUA BOM JESUS, 30",Açailândia,MA,( S ),04S570300/47W300600,200 / 87.90,ZYL488
ASSOCIAÇÃO RÁDIO COMUNITÁRIA DE AÇAILÂNDIA,QUADRA 59 - LOTE 27,Açailândia,MA,( S ),04S570300/47W274300,200 / 87.90,ZYT356
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO E CULTURA DE ALCÂNTARA,RUA SILVA MAIA;,Alcântara,MA,,02S241100/44W244200,292 / 106.30,ZYT392
FUNDAÇÃO PADRE ANTÔNIO FERRARIS,PRAÇA GONÇALVES DIAS,Aldeias Altas,MA,( S ),04S373900/43W281300,200 / 87.90,ZYT314
SOCIEDADE BENEFICIENTE DE ALTAMIRA DO MARANHAO,"RUA GONCALVES DIAS, 320",Altamira do Maranhão,MA,( N ),04S095600/45W280400,200 / 87.90,ZYT315
"ASSOC. DE DESENV. COMUNIT., EDUCATIVA E CULT. DE ALTO ALEGRE DO MARANHÃO-ACECAA",RUA VENERANDA,Alto Alegre do Maranhão,MA,( S ),04S122100/44W270500,200 / 87.90,ZYT316
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA ALTO ALEGRE DO PINDARÉ - ARCAP,RUA SANTO ANTÔNIO,Alto Alegre do Pindaré,MA,( S ),03S400100/45W505200,200 / 87.90,ZYT349
CECOAMA - CENTRAL DE COMUNICAÇÃO DE AMARANTE DO MARANHÃO,RUA ALTO DA BOA VISTA,Amarante do Maranhão,MA,( S ),05S345800/46W441400,200 / 87.90,ZYT372
ASSOCIAÇÃO ANAJATUBENSE - ANAJÁ,,Anajatuba,MA,( N ),,292 / 106.30,
ASSOCIACAO DE DESENVOLVIMENTO COMUNITARIO DE ANAPURUS,"RUA PONTES DE AGUIA, S/N",Anapurus,MA,( S ),03S402000/43W062000,200 / 87.90,ZYC670
ASSOCIACAO COMUNITARIA DE COMUNICACAO DE APICUM-ACU-MA,,Apicum-Açu,MA,( N ),,200 / 87.90,
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO FM DO POVO,,Apicum-Açu,MA,( N ),,200 / 87.90,
ASSOCIACAO COMUNITARIA DE RADIODIF. AMIGOS DO RIO STA ROSA,RUA OSCAR DE FREITAS,Araioses,MA,( S ),02S531400/41W542000,200 / 87.90,ZYC654
ASSOCIAÇÃO COMUNITÁRIA RIO ZUTIL DO ARAME - MA,RUA DO MORRO,Arame,MA,,04S532200/46W003100,200 / 87.90,ZYT380
ASSOCIAÇÃO AMIGOS DE ARARI - AAA,AVENIDA DR. JOÃO SILVA LIMA,Arari,MA,( S ),03S273900/44W463200,200 / 87.90,ZYC680
ASSOCIAÇÃO COMUNITÁRIA DO RIO MUNIM,AVENIDA MAGALHÃES DE ALMEIDA,Axixá,MA,,02S501600/44W031700,292 / 106.30,ZYT359
ASSOCIAÇÃO MOVIMENTO COMUNITÁRIO RÁDIO NOVA FM,RUA TEIXEIRA DE FREITAS,Bacabal,MA,( S ),04S140500/44W464000,200 / 87.90,ZYL496
ASSOCIAÇÃO BACURIENSE DE RADIODIFUSÃO COMUNITÁRIA,RODOVIA MA 014 - KM 03,Bacuri,MA,( S ),01S423800/45W080600,200 / 87.90,ZYT383
ASSOCIAÇÃO ESPORTIVA CASA DO FAZENDEIRO,RUA ANTÔNIO JACOBINA,Balsas,MA,( S ),07S315900/46W025200,292 / 106.30,ZYT396
ASSOCIACAO COMUNITARIA BARRA-CORDENSE,"RUA FREDERICO FIGUEIRA, 341",Barra do Corda,MA,( S ),05S302700/45W145600,285 / 104.90,ZYC647
ASSOCIAÇÃO DA RÁDIO ALTERNATIVA FM,BR 226 - KM 04,Barra do Corda,MA,( S ),05S290100/45W164100,285 / 104.90,ZYT331
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO BARREIRINHAS FM - ACRBFM,RUA DOS CRENTES,Barreirinhas,MA,( S ),02S451400/42W493800,200 / 87.90,ZYT332
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DO BAIRRO DO RIACHO,AVENIDA BOA VISTA,Barreirinhas,MA,( S ),02S442000/42W473200,200 / 87.90,ZYT386
ASSOCIAÇÃO COMUNITÁRIA RÁDIO SAMARITANA FM,RUA DO COMÉRCIO,Bela Vista do Maranhão,MA,( S ),03S442700/45W150500,200 / 87.90,ZYT354
ASSOCIAÇÃO CULTURAL DE DIFUSÃO COMUNITÁRIA BELAGUENSE,RUA DO SOL,Belágua,MA,( S ),03S093000/43W300100,200 / 87.90,ZYT390
ASSOCIAÇÃO CULTURAL E FOLCLÓRICA BUMBA MEU-BOI ESTRELA DE BEQUIMÃO,RUA PRESIDENTE GETÚLIO VARGAS,Bequimão,MA,( S ),02S265900/44W465900,292 / 106.30,ZYT365
ASSOCIACAO COMUNITARIA DE COM. E CULTURA DO BAIRRO ZE GOMES,,Brejo,MA,( N ),,292 / 106.30,
"ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO, CULTURA E MEIO AMBIENTE DO PLANALTO ZÉ GOMES, BREJO, ESTADO DO MARANHÃO",RODOVIA MA 230 - KM 04,Brejo,MA,( S ),03S400500/42W475600,292 / 106.30,ZYT384
ASSOCIACAO DOS LAVRADORES AUTONOMOS DE BURITI,,Buriti,MA,( N ),,200 / 87.90,
ASSOCIACAO DE RADIODIFUSAO COMUNIT.DE BURITI BRAVO-ARCA-BB,"RUA DUQUE DE CAXIAS, 299",Buriti Bravo,MA,( S ),05S502400/43W500800,200 / 87.90,ZYC660
ASSOCIAÇÃO COMUNITÁRIA EDUCACIONAL MARANATA DE RADIODIFUSÃO FM,TRAVESSA DO COMÉRCIO,Cachoeira Grande,MA,,02S554900/44W031700,292 / 106.30,ZYT371
ASSOCIACAO COMUNITARIA DE COMUNICACAO DE CANTANHEDE-ACCCT-MA,"RUA NOVA, S/N",Cantanhede,MA,( S ),03S375600/44W225500,200 / 87.90,ZYC681
ASSOCIACAO DE DESENV. COMUNITARIO CULT. DE CAPINZAL DO NORTE,,Capinzal do Norte,MA,( N ),04S430000/44W194300,292 / 106.30,ZYT317
ASSOCIAÇÃO COMUNITÁRIA DE RÁDIO CIDADE FM,RUA FREI ROMUALDO,Carolina,MA,( S ),07S180000/47W283700,292 / 106.30,ZYT364
ASSOCIAÇÃO CULTURAL E COMUNITÁRIA COHAB NOVA CAROLINA SOS VIDA NOVA DE CAROLINA,AVENIDA 03 - QUADRA 04 - CASA 07,Carolina,MA,( S ),07S200800/47W274200,292 / 106.30,ZYT360
ASSOCIAÇÃO DE ASSISTÊNCIA AO HOMEM DO CAMPO,RUA CENTRAL,Caxias,MA,,04S524500/43W055900,200 / 87.90,ZYT318
FUNDAÇÃO JOÃO LUIS ALBUQUERQUE,RUA  BELA VISTA,Caxias,MA,( S ),04S520700/43W205500,200 / 87.90,ZYT352
"ASSOCIACAO COMUNITARIA DA PRAIA DE OUTEIRO DO MUNICIPIO DE CEDRAL, ESTADO DO MARANHAO - ACOPO",,Cedral,MA,( N ),,292 / 106.30,
